passengerId,firstName,lastName,age,telephone
220802200005217774,Test,Lian,18,13104367774
220802200005217748,Test,Hong,99,13104362222
220802200005217891,Test,Jun,22,13104368848
510903199912239122,Sing,Tong,18,13177777777
510902200208035220,Ling,Er,20,15134235235
62562319801230993X,Li,Sing,42,15134235235
510103199810019323,Ding,Zen,25,15892039444
110103200410019323,Gu,Eileen,25,15892039444
309003199912259334,Jia,Ran,38,15892039444
309003200001039233,Nai,Lin,42,13980188599
203993199708190934,Lei,Sui,26,15880234599
203993199810240934,Nana,Mi,22,15980234395
403912199804045593,He,Student,23,18309038855
